codec, frameNum, targetBitrate, framerate,  intraPeriod, statTime, ipQpDelta, numOfPixel, maxIprop, minIprop,  maxQp, minQp, maxIQp, minIQp, firstFrmstartQp, rcMdlUpdatType
2, 360, 384000, 30,                        60, 2, -3, 2073600, 50, 1, 46, 0, 44, 0, 36, 0 
targetBit, picQp, picLambda, encodedBit,  encodedQp, encodedLambda, madi, mse, skipRatio, alpha, beta
7779, 41, 666.567047, 8784,    40.813603, 633.935299, 12.100346, 71.502564,  0.936420,  2.462612,  -1.004660
8972, 40, 583.776291, 10288,    39.898407, 509.825753, 12.190815, 71.394939,  0.928086,  2.462663,  -1.004711
8935, 40, 586.381424, 10072,    39.835784, 502.281465, 12.165333, 71.465669,  0.928056,  2.461814,  -1.003850
8896, 40, 586.002509, 10536,    39.873162, 506.770878, 12.025481, 70.046996,  0.926235,  2.462419,  -1.004464
8829, 41, 592.596567, 10200,    40.741912, 623.207545, 12.021136, 71.795081,  0.921698,  2.467230,  -1.009348
8754, 41, 614.999953, 10336,    40.660784, 611.286554, 12.017383, 72.037962,  0.924568,  2.471215,  -1.013386
8642, 41, 638.012999, 10424,    40.691667, 615.797334, 11.924938, 71.735552,  0.924321,  2.475031,  -1.017246
8470, 41, 666.225029, 9944,    40.678922, 613.931722, 11.980049, 72.773356,  0.935494,  2.477047,  -1.019283
8222, 41, 695.015333, 9368,    40.665196, 611.928922, 12.069728, 73.674216,  0.933796,  2.477188,  -1.019425
7798, 41, 734.177882, 9072,    40.781250, 629.071380, 12.061235, 74.206058,  0.938302,  2.477182,  -1.019419
6853, 42, 837.485987, 8240,    41.705025, 783.808605, 12.102321, 74.963584,  0.943704,  2.480195,  -1.022460
8785, 41, 661.861338, 9672,    40.803309, 632.383623, 12.131160, 75.088477,  0.929444,  2.481505,  -1.023780
8760, 41, 668.952144, 9528,    40.712010, 618.786891, 12.199506, 75.699160,  0.939259,  2.481705,  -1.023982
8734, 41, 671.787593, 9520,    40.733211, 621.917959, 12.240988, 76.674393,  0.942377,  2.481981,  -1.024260
8699, 41, 675.576708, 8808,    40.664093, 611.768267, 12.310716, 77.357540,  0.949198,  2.479832,  -1.022095
8684, 41, 668.219654, 8608,    40.551961, 595.653166, 12.350222, 77.891083,  0.947901,  2.476756,  -1.018994
8674, 41, 657.000532, 8936,    40.624142, 605.977318, 12.313086, 77.843761,  0.945185,  2.475504,  -1.017731
8637, 41, 654.985499, 8928,    40.654044, 610.306459, 12.331062, 78.460304,  0.947901,  2.474590,  -1.016808
8576, 41, 656.150800, 9224,    40.679657, 614.039200, 12.346667, 78.581036,  0.947747,  2.474782,  -1.017001
8417, 41, 669.520197, 9168,    40.830882, 636.548462, 12.349235, 78.669159,  0.953364,  2.475683,  -1.017911
7953, 41, 713.126625, 8872,    40.678309, 613.842172, 12.322173, 78.653196,  0.950463,  2.474727,  -1.016946
8637, 41, 651.969769, 9312,    40.621201, 605.553163, 12.221432, 77.457541,  0.944352,  2.474793,  -1.017013
8617, 41, 653.688001, 8648,    40.541299, 594.143188, 12.174815, 76.951545,  0.948889,  2.472517,  -1.014714
8615, 41, 645.132220, 8872,    40.597672, 602.170595, 12.222815, 77.253237,  0.942840,  2.471550,  -1.013736
8604, 41, 642.265155, 8472,    40.419975, 577.227940, 12.163556, 76.501439,  0.946235,  2.468524,  -1.010675
8604, 41, 630.725064, 8432,    40.349020, 567.559157, 12.195160, 76.635303,  0.947870,  2.465413,  -1.007524
8609, 41, 618.846136, 8168,    40.515196, 590.462484, 12.198716, 76.415006,  0.949938,  2.462949,  -1.005026
8631, 41, 608.252937, 8592,    40.600245, 602.539641, 12.170469, 76.140357,  0.947253,  2.462604,  -1.004676
8633, 41, 606.861781, 8264,    40.519608, 591.082970, 12.189630, 76.270598,  0.947562,  2.460875,  -1.002920
8679, 41, 597.434323, 8664,    40.633824, 607.375594, 12.202469, 76.263102,  0.942593,  2.461238,  -1.003290
8713, 41, 596.319136, 8384,    40.543750, 594.489970, 12.166123, 76.030161,  0.946389,  2.460209,  -1.002244
9654, 40, 534.839920, 9240,    39.768137, 494.257247, 12.229333, 74.934511,  0.943302,  2.457187,  -1.000000
9665, 40, 527.182993, 9192,    39.589338, 473.660110, 12.241580, 74.912973,  0.948735,  2.453324,  -1.000000
